,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
108,CH5159,0.0,108,-28.785773804485043,43.514092872357196,21.42154618774312,4.203331317277771,-63.15855816849697,24.439752705399755
109,CH5174,1.0,109,-50.76955260254755,-0.38555305979394167,16.458932353682563,2.239018267947001,-57.11131784165946,10.160693541028003
110,CH5182,1.0,110,-8.047906130027783,-15.566971597740423,-5.007298758199943,-4.862821683167947,25.96604786844264,-7.435667309140932
111,CH5193,0.0,111,34.63757639415814,28.22791424880924,22.062042578071253,4.309247441879361,-65.97944883253867,30.436914507756725
112,CH5206,0.0,112,32.255764021664966,43.491436077498655,-3.172798502395461,-5.6512458505083,-1.1819851115425024,-12.474443644979551
113,CH5262,0.0,113,50.210852474993914,-47.44793969516789,-5.872047739466577,-4.185695874844769,27.27034791706929,-2.653712931899932
114,CH5267,1.0,114,-8.763646899579395,-34.268167080970265,5.654255689274477,-0.9754672009353591,-33.21885689167791,-24.37312999893211
115,CH5291,1.0,115,14.546010826763522,-31.10891765543591,-2.669642900825543,-3.2291953652172465,14.910774235714836,-6.145846056897092
116,CH5334,1.0,116,-33.42754786426033,-21.016335444910403,6.553119610102145,-2.931151007069194,-37.66378921872863,-16.583310192293908
117,CH5353,1.0,117,-35.36803130208549,-2.7055387475602224,-5.969162684128824,-4.052200490305301,22.3166393621765,0.3145281299483358
118,CH5356,0.0,118,5.212325955529447,16.869141410836097,-4.4895739545639195,2.003115691825272,25.135810776403535,7.998655612255369
120,CH5363,1.0,120,86.46534224050933,28.513447801140128,-4.985764884036821,-4.016913338100321,27.094978167687405,-1.1257595258725104
121,CH5387,1.0,121,12.12893161552674,-23.486601332265835,-3.1573959837396597,-5.776509018309548,4.6357100141914,-22.322731587712358
122,CH5432,1.0,122,61.731048873655475,26.955338201098087,-2.889544911938724,1.1157161616745448,16.863518526009965,-3.757485947893727
123,CH5462,1.0,123,-8.65364764690501,5.746129045137837,1.1910808931981904,-7.050035691108077,-29.668253825329295,-29.285436454420196
124,CH5464,1.0,124,-32.039704345622994,-19.436418098560207,22.162576638185968,4.496199931712988,-66.1701158561861,30.38515200238234
125,CH5478,1.0,125,18.01942604883651,-6.373005531837336,-4.097911714962519,-0.39583308925385197,24.156352238120274,-2.158529124908128
