,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
251,F2017,1.0,251,37.11153588640415,-33.96120292699797,-9.00119806772892,7.756711115404068,30.36633526415978,21.803771742813545
252,F2020,1.0,252,-7.44429738161004,-12.1309154388896,0.545223706337087,-9.275216829816362,-26.637175040484696,-49.64977608019943
253,F2029,0.0,253,-6.630164889496895,5.801746527388545,-5.575066574834515,-0.7431900379441014,28.959451218414173,-1.0493658294689538
254,F2030,1.0,254,43.3705707717992,10.93171719870525,19.62686543065615,2.1891000574390276,-63.08586747260003,27.156569669912308
255,F2034,1.0,255,31.56365745166539,-23.99155449348136,-6.422727006001065,4.3808650302715115,31.229595989692747,9.918771297651503
257,F2040,1.0,257,13.139679321274127,3.8666288765392056,20.715526444466313,3.2707649136742702,-63.11639720474498,28.139161126329647
259,F2045,1.0,259,68.43416822272626,59.40880984551772,4.560376388676394,-6.392034396810704,-37.5743040493765,-20.580399398244552
260,F2054,1.0,260,-22.450761814402053,8.737786764142273,-4.089310825327326,-2.5465138682098107,15.676249450093557,20.480628568860602
261,F2055,1.0,261,-6.964473789510061,8.244053803247336,-5.8323342768574555,21.814274839399268,29.748395612121143,14.094703331776728
262,F2056,1.0,262,-1.6830092909861885,9.64534354593903,20.955111471727367,3.2044362249591547,-62.77788819065851,26.906083935831084
263,F2059,1.0,263,-28.19689827066417,10.096387520709477,-5.689503153701718,21.763749911534674,30.013438610006318,14.036950634839314
264,F2064,1.0,264,-35.366257996807875,25.49473176275823,20.464938554542385,3.4047488882635957,-62.19119031551462,26.32346505203146
266,F2073,1.0,266,-1.0284051383404966,-2.6171116666236047,3.5178350779020136,-5.185318782309597,-33.10644926119524,-24.58903558943423
267,F2075,1.0,267,-37.61594063306938,-11.125869565155469,-6.218572883337785,-3.1520828515861643,30.840338622811387,-5.515419385971285
269,F2084,0.0,269,-46.57375888468102,-12.9502904790869,-7.816185749234532,-2.670580593128645,33.49890641092275,-9.678643167321297
271,F2097,1.0,271,-16.073729500515803,-23.926786679312833,20.55720127523324,3.412716677088307,-63.02651235353705,28.522529099787796
272,F2098,1.0,272,-28.235393848196857,14.960885069913914,-3.3895581312782603,-0.4846820713383888,20.611735331761075,10.217648421762071
273,F2119,1.0,273,2.7724021731403616,-24.989026298618143,-8.680756921672064,7.2320844366994645,26.17991923002407,20.567556433507853
275,F2137,1.0,275,97.47400799326913,54.72667828118457,-8.937050177112907,7.836901232175952,29.958592388519932,21.595059466249843
276,F2148,1.0,276,-19.13306964677207,12.42456689810486,-8.94550341013935,7.866748347100499,30.345053460539845,22.64913903468929
277,F2165,1.0,277,107.5982294021001,60.709224973170436,-8.932967369978426,7.849305674713355,30.2174161514883,22.1331653106407
278,F2166,1.0,278,-2.8914155486578434,-8.306253185893183,-8.894977407378859,7.834181774256061,30.258364894224023,23.008422698888687
279,F2167,1.0,279,16.054506983052278,20.777788917385127,20.183276273116185,3.237981131531944,-62.9234047232174,27.84693982720257
281,F2176,1.0,281,-45.304152758271925,27.997043318585273,-4.029465713262724,-1.7175461845700344,17.491220467584746,18.890900111734986
282,F2199,1.0,282,-14.481578952630903,33.130451321283886,-5.558646237703913,21.712833072337723,29.93936253668,12.539123049354515
283,F2205,0.0,283,-42.88852571883117,26.866923234307293,-7.559993294156561,-3.8304307919144804,32.73095580560622,-9.845362210774617
284,F2208,1.0,284,-30.474844033137984,38.271271512856586,18.5251021392476,2.9235215383118955,-61.68771531063065,26.55052770407685
285,F2230,1.0,285,99.56889893642737,61.19246381229474,-7.1853489754348585,-3.3546349292631534,28.764155763302917,3.2668221323342266
286,F2234,1.0,286,50.17958461400571,22.226935805803905,-8.841445314147954,7.917558919003751,30.102634984864856,22.213352737147154
287,F2235,1.0,287,-13.945719410319498,-3.5787727547761836,-4.9506651179457535,18.933763036990186,29.09525546151763,11.92293596374153
288,F2236,0.0,288,28.259723404787582,34.079805431489405,-4.478942210227299,-4.120462952803803,26.062693709189794,-3.051236583504817
289,F2240,1.0,289,51.11305430578318,18.605416503475773,-5.565989021826127,21.57957783658533,29.917359936069012,12.657173844965541
290,M70563004,0.0,290,34.81539241106091,40.54049697825331,-4.808993966069076,1.665383204115436,23.05474375971673,8.451681532777947
292,M70565254,0.0,292,-62.67108469844322,20.173456437951767,-7.779306642941945,-2.336493961560853,29.85947003693444,1.792975038697314
294,M70604538,1.0,294,20.104204994968,58.4131445616565,-8.575127292733184,6.44214170725329,33.09541114116511,16.343921854027336
295,M70608424,1.0,295,-86.81423411464766,64.91091022753115,-8.569871935929669,6.565278295949179,33.00504493723999,16.4924160563453
296,M70635118,1.0,296,-22.821859808919818,17.698100750280965,14.619232627613744,-3.1873698031711424,-59.47601612169089,21.273573267363368
297,M70638412,1.0,297,-2.863365891937779,27.34250949859423,16.392479158118885,-2.316156074959806,-59.81473454781052,20.71254853440731
298,M70639645,0.0,298,80.55202643387169,-45.8696982034963,-5.615939070150818,-5.468398830642152,23.858614010408395,-2.7394343382629884
299,M70640096,0.0,299,21.591490821143612,7.238445609285673,-5.848149595388506,1.2529675877667934,23.99898520480997,16.84816055456333
300,M70641593,0.0,300,1.3369789575231568,-16.240981758960608,-8.312660138552072,7.336276139540788,30.51066860285777,20.171005865667574
302,M70646077,0.0,302,64.79053472556636,7.736261150579879,-4.913036373887794,0.7402648924643493,25.73553152417732,5.067288652502377
303,M70647319,0.0,303,55.30969033741858,17.89064466096322,-6.308729521278963,-3.833378768801123,29.15179624292928,-3.431452961876161
304,M70649365,1.0,304,5.860625460447,-10.978254292875814,-7.622566885170426,6.068428902685815,30.112094998633758,20.315843950063645
305,M70652746,0.0,305,-24.38549513251834,22.797120068027393,-6.859834333591009,-5.075441822921962,26.926517659988455,-3.187925591381834
306,M70656672,0.0,306,-24.03623253246666,-11.870775502151796,-9.692844470454826,6.925032536977918,32.61323163264838,11.060734634319829
307,M70663247,0.0,307,-20.099428884453573,17.79945749332487,4.019987756388524,-3.1370038690301145,-29.603809057115328,-22.33404332558833
308,MHH0147,0.0,308,-55.50694100143081,36.74360645647112,-4.785925214205596,-4.24995826643605,20.82161974600327,-2.3825741583339877
