,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
227,F1798,1.0,227,-39.22058558543319,5.481584253530746,-4.2603334530482915,20.516362422205702,27.12002228850551,12.34723121886659
229,F1801,1.0,229,-64.51633199354477,17.601346469899546,3.375706818278533,-1.6884358573265317,-30.91169291082118,-22.84199102054994
230,F1810,1.0,230,5.515766209598761,32.034750316769085,21.16915198304341,2.9049256366475635,-64.21820308247058,27.15593455941667
232,F1821,1.0,232,-51.170258337028805,26.013110318162504,-4.031777385471283,-1.7206949660280344,13.976152008170509,21.34848284658822
233,F1823,1.0,233,-0.029370185404119994,27.90036468111399,-9.079420494629256,6.155214278423067,30.180867445976247,19.34034867922646
234,F1853,1.0,234,10.081792770353323,13.951421551870805,16.102997639337854,-1.9720170899643712,-62.079825522791396,23.018127217134754
236,F1864,1.0,236,-64.33101944430219,-17.02911927978106,20.957505529949948,3.0706420231669327,-64.30587983142857,27.1144193701901
237,F1869,1.0,237,85.50447772762453,-14.482600456186645,18.762846963465925,1.2154074876215422,-63.45331297065097,26.814388826066384
238,F1880,1.0,238,48.63493804647842,-24.20366710746559,-6.199299274911642,5.849400561755724,29.969024917372778,9.999059565828361
239,F1883,1.0,239,31.13528562991956,-30.467554922285796,-6.072495411136982,5.767596251463395,29.465053290975654,8.884073149302985
240,F1894,1.0,240,-3.7867822141354,-31.07223079270385,-5.888456297136797,-1.7194607645622533,23.36127822492405,7.379460880370033
