,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
65,CH4035,1.0,65,-70.15707425844816,19.969764358293656,22.017983502737323,4.637456925424399,-65.4716062911318,32.77308573876896
66,CH4083,0.0,66,-59.743143937555374,-12.88275536690602,-4.865766289752566,-2.8311305575926955,23.189704370356157,-9.434076513014837
67,CH4411,1.0,67,-69.65592910773043,14.175086639280282,-5.193975358970849,1.4699023060960137,23.922411638992788,14.829368865489236
68,CH4418,0.0,68,-36.587182362039215,17.82104836166697,11.677468159673918,-0.34520133183225,-54.68837285334474,14.987848619199497
69,CH4433,1.0,69,-48.19287740852579,-3.8904212722746423,0.16138317159987636,-3.7957415453849794,-19.025568812629892,-15.122164892260813
70,CH4438,0.0,70,-13.631155359991567,-1.2278207875166527,-6.049340415425359,-2.226592440685587,30.081967614102492,-4.03556811611945
71,CH4443,1.0,71,-95.50131419737549,14.051989595825999,-8.279536852154814,8.903815849227922,31.315301447150876,13.087588034707991
72,CH4446,0.0,72,7.105396311794782,-9.287900005749302,-5.824586335191917,-3.989676600388303,28.783170380997515,-5.084567564166392
73,CH4489,0.0,73,-27.641813184223142,-24.57466273016377,1.6705301429116106,-8.65119268617895,-26.856396618334138,-36.438244826624036
74,CH4509,0.0,74,-81.2103885073791,-9.85080674222957,-6.614616135058199,-1.5700202716136733,30.86454716670099,-4.39382102559906
75,CH4520,0.0,75,-73.7188736407602,-21.0405598009234,-5.725261833400886,6.03088381491038,26.001886064314053,-0.09015052481210262
76,CH4528,0.0,76,-36.05741101213053,8.39278843335641,-4.813404683025327,-0.15516488933553596,23.187508508019956,-5.600117210082452
77,CH4548,1.0,77,-43.7537000809823,-1.5395659444227865,22.373135282793587,4.396908350602555,-64.87985667119602,31.327944934785144
78,CH4549,0.0,78,60.080859695749865,23.68830505356744,-5.124209688852434,1.8090919727153505,23.606988859499804,15.689996248199968
79,CH4560,1.0,79,-1.549194839032543,-3.4062336494501197,17.57673795140866,4.029418402251007,-56.09733857717225,14.185256809866743
81,CH4591,0.0,81,57.85024981809596,12.670682154405355,-5.8316611154242075,-0.19440715921332874,30.977143118527263,-4.879335037777075
82,CH4602,0.0,82,-69.29041208569092,-32.79528402407408,20.376307205465704,4.198381180287285,-64.35938969944111,30.64198384239939
83,CH4634,0.0,83,-87.94126859466654,24.285552198531946,4.678746126273835,-0.2884322271486628,-32.10129124332263,-25.007603280932553
84,CH4681,0.0,84,-94.96010885345764,-20.81337642433993,-6.339565914385501,-3.3011895219245666,29.57049813666354,-9.732767823854154
85,CH4684,0.0,85,-49.5633633517823,-7.996326662852596,-3.275000259059073,-5.315291372877958,-1.0915987405309018,-13.64470587888993
86,CH4703,0.0,86,20.513002862869666,-1.8832205146534662,-5.668090562517102,-2.0644497236937216,25.58813298022321,3.39007269274736
87,CH4704,0.0,87,-29.832298637053132,-29.528475952478825,-5.699605578583703,-3.702998312781652,27.143249544449706,-6.172460502578701
88,CH4733,0.0,88,-33.10714011234438,16.6131176010307,-4.814443189943094,-0.19866930052092435,21.258819793144443,13.925559025807786
89,CH4745,1.0,89,17.039748917201408,-30.58673579725744,22.215365530816175,4.6593253215686765,-64.88930745137195,31.416726030283392
90,CH4755,0.0,90,44.92013978379593,-27.597763429821022,-3.741955340274954,3.6720268948982913,27.781452683813956,5.765820961855269
91,CH4757,0.0,91,-12.737383110719476,-19.6627489194248,1.9793307453007583,-6.645276876380407,-30.80654113774156,-43.483484924172224
92,CH4766,0.0,92,27.125594298446504,-1.6755413004846285,-4.076780326779884,-3.5467593600702365,18.207345544993796,0.9241087987605141
93,CH4780,0.0,93,14.121608470036664,-8.377319571172553,-4.225502255934987,-5.517236210699,9.424618202827563,-13.436365899532781
94,CH4785,0.0,94,9.006797757069524,-25.550265477204416,-5.155579235163186,5.163803332920962,25.94714199854931,-0.9104780484965644
95,CH4840,0.0,95,-5.515011602448952,-42.68750631681813,-3.2206673540737105,-0.6113908430606596,23.932159250533086,12.702356743678415
96,CH4860,0.0,96,4.390645163236981,-29.702212558632823,-3.819720014320338,2.6765287242339504,28.280824033566265,6.95804889685072
97,CH4862,1.0,97,32.02993373813123,-4.100854446047804,1.458674454288494,-6.950322376068275,-27.992549453656235,-25.81643123968053
98,CH4877,1.0,98,34.3562102245351,-13.745564465327437,5.10667152734254,-3.063642513351562,-40.366327503548874,-8.736554099990762
99,CH4878,0.0,99,48.66456531190352,-36.074931620246225,-5.003627576239425,-3.116871297134619,26.59517657289425,-3.9377759244818122
100,CH4891,0.0,100,-28.46431003691812,-10.638382674596087,-4.163815061549535,1.7920630482611788,28.171799567714988,8.796728152120636
101,CH4914,0.0,101,-124.08574934459027,-23.21761473080588,-2.7488456816488283,1.5272873693566655,19.2241776863919,8.074015053978172
102,CH4916,0.0,102,10.686260095355404,-28.519943236253894,21.035099900597803,4.686506035136874,-64.3019147944536,30.4591001055964
103,CH4990,0.0,103,-59.74597548134788,35.082688810001244,-7.7030913234211145,9.324206181563607,28.452384869155058,21.69089752942096
104,CH4992,0.0,104,-51.04863868233905,23.595741420656513,-3.7687921263667867,2.64619852117403,-30.966251587133566,-47.15371287472154
105,CH5022,1.0,105,-8.326190497222242,-15.223444812623141,19.883597938514878,4.8894388911289575,-56.37005579772165,17.088240984931737
106,CH5052,1.0,106,8.423111937609551,12.702668298166156,17.13000255570628,2.5760302407851654,-56.42138222131136,15.116554595286502
107,CH5066,0.0,107,-15.029222412969798,14.712226717732838,-6.002858657089733,-2.0595150207730653,28.108632201873835,-5.664395367605572
108,CH5159,1.0,108,-29.15982226717434,42.27163487993644,21.54047865794007,4.325587364546866,-62.922371088373325,27.067076367589728
109,CH5174,1.0,109,-50.599254877701355,-2.6857564658973394,16.642612720842365,2.38140767795511,-57.14793472963526,13.135274881800385
110,CH5182,0.0,110,-7.5884146359970535,-16.433068565083623,-4.663116451295066,-4.818904222389058,25.272921512901494,-6.558524520550279
111,CH5193,1.0,111,34.74719119913594,28.541788685352213,22.195505365135038,4.448332673383998,-65.69125413460043,33.08802960746012
112,CH5206,0.0,112,31.98646758881809,44.82841176870734,-2.7164354251247165,-5.43101824883416,-2.393104458407951,-10.62975959628335
