,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
123,CH5462,0.0,123,-6.607629490136277,3.641658719437601,1.1602952392148196,-7.114863081975272,-28.61227943427118,-29.646643523608688
124,CH5464,1.0,124,-29.677101240678173,-21.115552948638914,21.84065542327961,4.586284259899381,-64.93193780089013,30.807717857183384
125,CH5478,0.0,125,19.971327627677496,-7.160936210576522,-4.148196951847127,-0.9211118421585924,24.827734854272904,-2.4951784523081315
126,CH5528,1.0,126,0.118348705935733,-27.35763987024224,2.265219734519122,-6.174838530802825,-28.555410305548243,-19.349558460961383
129,CH5550,1.0,129,38.70311689240198,-22.489116038342267,-5.55411666290585,-2.5674370990957103,25.331224444536005,-6.784779439858752
130,CH5551,1.0,130,20.928052932662023,-37.49314498538403,-4.296100020865692,-1.7515411111163361,20.6136578965966,14.750243233695862
131,CH5591,1.0,131,46.47534679519394,34.86621390930038,2.532208436167286,-6.625597020191602,-32.91766901474135,-25.966888419356817
132,CH5596,0.0,132,-21.17963490649488,-27.670343267169415,2.5585669996922356,-5.973398314106927,-27.013933180848156,-30.171261029803336
133,CH5597,0.0,133,1.8809966710285444,-35.02985765112092,-6.362053622511096,-3.2260017517528965,28.575450298682718,-7.203175534566562
134,CH5621,1.0,134,-2.4896616359744743,-31.93596058418409,-5.0689001287184485,-3.6833921228890993,25.945879351981574,-2.7621885272111655
135,CH5638,1.0,135,-20.624092654070655,-31.05407298865051,-4.8859174189118,2.108480968940677,24.448377473846236,9.471362218299134
136,CH5666,1.0,136,-18.478237157790726,2.7335157443174287,21.866026015651308,4.308186490726328,-62.512825769987074,25.63761742248264
137,CH5688,1.0,137,62.918826138742276,-7.484976652110828,16.838360937329533,-0.3574390908100824,-58.07120235213959,19.614180960491034
