,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
219,F1760,1.0,219,22.334190394636103,18.901489076669332,-3.905051446678633,-0.508905234857771,14.790940541190142,25.14987688209804
220,F1763,1.0,220,32.05851561716268,-1.022291928639397,-3.189875263633608,-1.7021158212140328,17.491946046653336,14.714276451988972
221,F1764,1.0,221,-0.8865744238041537,-3.0500400251475384,-4.363371043088874,-3.4707736632282735,22.113249861253482,1.9208507160513122
222,F1775,1.0,222,-17.54394620024842,-15.30726430860612,-5.579585663677913,-2.231926511420096,27.386677376613545,-1.1542765102013206
223,F1787,1.0,223,15.472874758473715,-5.863161228956856,-6.903760697523663,-2.6853308856248717,30.45289570432436,-9.004523234542326
224,F1789,1.0,224,-13.399619003757993,33.36622723500533,-3.747500556611207,-0.6632653662258825,15.265306039029223,20.046885310304617
225,F1795,1.0,225,-23.432738350623296,23.44782554363059,21.189565849377242,3.284120794291459,-59.3636054798821,24.101627337055405
229,F1801,1.0,229,-65.19414902529246,16.789436607903266,3.763989353155786,-2.0919059469861905,-32.396170711002505,-22.707578350931822
230,F1810,1.0,230,4.110470988412815,31.554896625138362,21.570300707291516,3.520897214361714,-63.170151759466165,31.77791155323966
231,F1812,0.0,231,-76.83679997624967,26.373871857062344,-4.002597028531559,-0.800246388282364,14.759039952855257,23.95665485715047
232,F1821,1.0,232,-52.289124020418605,26.171806774371987,-3.9160921223538976,-0.6409920850682269,14.39714293015015,24.809442409619393
234,F1853,1.0,234,8.665994822196192,13.981283084862289,15.967423428919496,-0.9733921022169181,-60.927489491648586,27.29044262052784
235,F1862,1.0,235,-14.212473919367131,-5.367453496600558,0.8983689541197195,-3.054413729340263,-24.993109708626562,-29.534962121326082
236,F1864,1.0,236,-64.92111231217898,-17.817311065468154,21.360248214753643,3.6203233506335586,-63.29417519050581,31.76283847190976
237,F1869,1.0,237,83.44214068705391,-13.709190810623136,18.867457101235082,2.086326334022365,-62.38472744000127,31.0971355021441
238,F1880,0.0,238,47.017152774518465,-23.49363001278728,-5.974676462630727,7.913580738152074,29.81327561613678,7.568397480783922
240,F1894,1.0,240,-5.13206473503918,-31.049750039298228,-5.8022491239282195,-0.07343173616963128,23.346517308793405,8.079801813201364
242,F1968,1.0,242,27.495885155997442,-40.29618930236291,-4.692187419629786,-3.950119384440395,27.884267837459877,-9.515892975354973
243,F1979,1.0,243,-1.2839877288195092,11.034009547444082,19.760536755966474,2.4207951903179694,-62.2038991504445,30.564286340860193
244,F1983,1.0,244,35.41249899126934,-1.1450044995878321,19.640574479620156,2.264194587113689,-62.243337688024134,30.791404076108577
245,F1997,1.0,245,-3.8925867366460616,-1.3268571343937279,-6.595165089129199,-2.060004249732393,24.637635455610525,6.116728114588845
246,F2000,1.0,246,-34.213534836142,29.74927158452043,20.92228804079427,3.4904221861197477,-63.19172950177244,31.51675630068995
247,F2003,1.0,247,45.18189466814868,-16.116977513345834,1.1213128862259956,-12.486969861177032,-30.33082318450126,-47.81839713982656
248,F2005,1.0,248,24.010419023126254,3.405503021657273,-6.525121701072446,-2.28880582352998,25.305582712534775,-0.33171924299695377
249,F2006,1.0,249,-54.555915165234225,2.7618637575144973,-8.338389330248878,18.056245316197078,28.88318320726346,22.45529489742981
250,F2010,1.0,250,34.878017601657085,9.59312143544926,-6.8578003238907215,-0.741685407517469,27.514533594111317,5.227929911488076
251,F2017,0.0,251,34.239188617220854,-34.566849856948096,-8.27967630021632,17.12079851675882,28.939087376974374,20.437620720434154
252,F2020,1.0,252,-10.793689401296284,-11.623522943537212,1.0205949481582783,-12.429042756920317,-30.28778026932882,-48.05300557936165
254,F2030,0.0,254,39.94586186120248,11.42917691819371,20.204059582096473,2.761103229321291,-63.26101621166486,31.372419469689277
255,F2034,0.0,255,28.585940886377504,-24.350332903431948,-5.805008251270704,7.858668277797044,29.609398492239453,8.188996967058664
256,F2035,0.0,256,82.20114855223969,4.719383582951357,-8.287319348001498,17.093469628929668,29.112870595000313,21.498757251080647
257,F2040,1.0,257,9.83303405587821,4.042925996211728,21.41161222728936,3.6228639805854943,-63.328780261227614,32.241723266227254
258,F2044,0.0,258,29.9707989437661,-29.038043416704465,2.267418009635363,-4.340481951211612,-30.068367854257957,-19.41408794212834
259,F2045,1.0,259,64.64782009677576,59.24893403768028,5.1011163676883235,-8.437004280491953,-40.08391192083902,-16.572517721370005
260,F2054,1.0,260,-25.607703007990445,10.771988040407882,-3.770221399909628,-0.9536341629133176,14.984125228418069,24.439778254460606
261,F2055,1.0,261,-10.334220896565338,8.643211558232196,-3.155982516838412,12.86939974956303,25.276546165361356,7.402523522858914
