,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
163,ESP037,0.0,163,-67.87535577100304,24.7179265886279,-4.078010821899841,33.26758509228925,234.13438889118126,140.8603213723906
164,ESP038,0.0,164,166.11202120315625,-82.18101620935558,-17.2765247132936,-1.9593933300364552,-46.24830142872968,23.210699316688363
165,ESP039,0.0,165,178.985931336531,-99.62192081597433,-11.293412868011309,12.409201590801302,-48.935557500871866,41.69509659654551
166,ESP040,0.0,166,157.20649958021374,-103.22825007233412,-11.26658285871755,12.252072652455938,-48.63295046073761,41.0419417099257
168,ESP044,0.0,168,68.20623801960294,-89.43030867330613,-18.35002549052485,-8.922494759580227,-153.32903544054142,-32.318741946111984
169,ESP046,0.0,169,-20.449894322048475,24.81693440492362,6.751412936978191,1.2664370158229017,183.8956269684,-17.642208462616615
171,ESP050,0.0,171,39.991330960529105,59.80920867171667,-2.15342980158596,17.650977728616798,189.3682989909689,-12.939373201140695
172,ESP053,0.0,172,-51.07392331939121,-104.68085849058967,90.41167698725192,-10.511326263210064,223.2011992793855,-70.23419322600381
173,ESP055,0.0,173,14.64335911643447,63.03297931189808,-17.984895352094018,-8.262683896893535,-165.5963499356472,-35.39610303350885
174,ESP057,0.0,174,23.62682271796641,66.39662787511631,-18.691521988211285,-3.692241034460408,-140.07620652250534,14.671004047918254
180,ESP064,1.0,180,-12.266415504030169,89.47131445467068,-29.38525334909987,-20.144434679837467,-101.14620115336871,83.19172651050863
181,ESP066,0.0,181,-154.861563458208,-30.792259188222598,-48.511034339522084,-11.298064355736432,-135.78827163648052,67.33399036622053
