,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
63,CH3882,1.0,63,179.39996357297332,14.996055089919247,-21.196764543896116,-15.42279102809461,-148.53684458553778,-59.599260213301086
64,CH3906,0.0,64,155.3285089827907,-34.876610905852985,-17.948024362201753,-9.170005566512007,-174.8503508460774,-4.240737898338263
65,CH4035,1.0,65,103.5471661035705,65.92446004378176,104.6061414684543,8.465248588976705,342.47932755800707,36.514585623768426
66,CH4083,0.0,66,109.30567246307696,-49.76354290251202,-16.05415661546919,-6.994962329668938,-137.2965484956232,-13.900139529458366
67,CH4411,1.0,67,107.95934308708378,58.99940200055212,-20.98267901647524,-7.7114540447978435,-131.9341858142089,101.35400050931682
68,CH4418,0.0,68,67.64846800676256,36.27757904584348,68.36010160877342,30.623788264105105,280.45979538734304,9.68586096834939
69,CH4433,1.0,69,81.92938926851478,12.753986471512409,-21.36840025858658,-19.064759378446805,86.21091212216271,-94.1671408161008
70,CH4438,1.0,70,30.78694790268302,-14.029033631886437,-19.377433977873352,-8.737568718554792,-134.8491677982716,-3.2801498030631318
71,CH4443,1.0,71,157.1596727591558,46.601935432981044,-46.40654907782063,-18.40205794064155,-193.31768956417406,153.9981517006717
73,CH4489,0.0,73,50.93890588234368,-66.70936537004245,3.990782779035148,-4.296574541853253,161.52096693404354,-97.1003078542818
74,CH4509,0.0,74,150.82082801137986,-17.592814619656423,-20.26192922709284,-10.476040791494023,-130.46565423577223,-17.54504448117658
75,CH4520,0.0,75,134.87286882533024,-48.4205810630709,-39.96179207793789,33.103131127708025,-138.73110654600706,21.717868995531557
76,CH4528,1.0,76,80.20542583019994,5.721312012548784,-18.674910456063227,-8.538930892805299,-176.7910951524165,-41.66761151228803
77,CH4548,1.0,77,69.45305078943743,15.475946155450327,104.77046987713595,10.485400794791438,337.50251360411704,24.535945222197146
78,CH4549,0.0,78,-123.94821358590863,60.41576995237417,-19.05166009398244,-6.9965212438640885,-138.1514027291765,97.22865092502764
