,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
68,CH4418,0.0,68,-71.83987331555713,41.6683877772667,77.26752060816084,-32.71166228385701,289.20468478802553,-10.162733875462711
69,CH4433,1.0,69,-87.38795753785449,13.334272192644503,-13.34936151696532,-10.729467437928237,101.17360105087322,114.82578653899678
70,CH4438,0.0,70,-39.60531887133578,-0.3685334089892123,-17.234818221785478,9.768744479906028,-121.12580311519156,4.175782780567035
71,CH4443,1.0,71,-160.0829562552632,48.84091334677928,-63.513253049016804,63.57247560584745,-170.5025533829986,-165.32048118173157
72,CH4446,0.0,72,22.729231124376053,-40.48920014757316,-13.593905458374033,-3.448051820163839,-162.20644676707497,89.75988531148545
73,CH4489,0.0,73,-57.79990491793409,-68.97237723843153,12.785045225150009,7.874775424700305,171.34960180418332,92.99158208253972
74,CH4509,0.0,74,-151.1373913926428,-16.146461925709357,-17.407889519972112,9.499736176134753,-117.29550758836416,14.812947651551504
75,CH4520,0.0,75,-141.78140843656368,-32.5812842435251,-32.86079163330645,-25.01747836109994,-199.45951197183842,-21.798794800802582
76,CH4528,0.0,76,-83.8384942407517,12.115940406206137,-19.156290678730127,7.0406823398160245,-163.90908121362654,54.34250360903853
77,CH4548,1.0,77,-71.62865374905894,20.498324879508445,110.93592607447098,7.009982114014604,340.8909579606821,-32.097872651631846
78,CH4549,0.0,78,124.66210142046161,75.13086530728958,-12.485595585130227,-2.8073998681113275,-128.50098122360254,-80.64653837765398
79,CH4560,1.0,79,0.44255457718658137,5.873474204960787,103.48385783782585,16.896300043263782,308.45404473232577,-66.04261538010056
81,CH4591,0.0,81,124.80479392799393,31.895080122552567,-27.709473070683565,10.987901916117119,-122.7838639960235,92.16713413254686
82,CH4602,0.0,82,-124.8732476313564,-57.76355552712819,109.18515166863149,4.063750839678797,358.229076443687,-60.99901471945659
83,CH4634,0.0,83,-155.7605187852643,37.01874337680857,34.33615252063748,-30.051662025666428,198.0572955520259,-50.523524811357035
84,CH4681,0.0,84,-168.86481623000353,-28.756616764600107,-31.44937481693912,-7.298130636593451,-76.38361518873923,97.53900587870577
85,CH4684,0.0,85,-109.84257714406078,-13.60381124377507,-11.747340350533369,-6.732128538805343,-12.459654173359558,52.223280439156184
86,CH4703,0.0,86,57.65599830518764,-42.90318320415591,-17.013233036727392,9.889472294527287,-88.68397753429471,-25.727626290613554
87,CH4704,0.0,87,-52.2794724865298,-82.33287730959424,-26.018553763739536,5.604867052276899,-134.38336531146683,6.628405915136925
88,CH4733,0.0,88,-89.0999276911048,7.452297456415056,-12.003925367028922,-4.324805411321599,-120.02209127627327,-77.8482196939165
89,CH4745,1.0,89,21.50097265079875,-35.371307130388615,102.03870161115805,17.296356880809903,340.8644344871333,-31.562829150881598
90,CH4755,0.0,90,72.4628606857903,-73.92850098617056,-24.848724926956727,-5.9817956193415345,-134.3144300383008,-81.6659673156701
91,CH4757,0.0,91,-15.709013708317793,-78.68955768715239,5.479979374475386,7.077252281651477,147.9521707793802,125.29950622115322
92,CH4766,0.0,92,61.33758732999176,-13.986764340460278,-9.863793393724206,-5.242993979988326,-100.39924767155375,46.07005993840846
93,CH4780,0.0,93,31.57216871768537,-29.742286129427416,-10.195787700698437,-6.90507966823828,-166.06977608410503,66.31298796781816
94,CH4785,0.0,94,26.250884675973218,-64.99265392402245,-31.925629255041606,-25.534768696615945,-200.87878204044156,-19.923426771942978
95,CH4840,0.0,95,-5.523759390801704,-101.65261464542174,-7.39996869402873,-2.099362084094609,-150.18732958016855,28.929970629419838
96,CH4860,0.0,96,15.915103907562298,-67.1140351939389,-22.583855754209903,-5.120422044552193,-136.15552457937616,-85.3828508215844
97,CH4862,1.0,97,53.86618498547051,20.204546650906725,-7.046176520404434,-9.281136934211684,159.22403897244237,-56.04264928966492
98,CH4877,1.0,98,69.40914110893284,-20.748629311317334,22.264664926965917,6.708296868566898,260.7590340390952,59.13051219599088
99,CH4878,0.0,99,86.77581045173906,-82.33320787286566,-14.147359033150376,-17.22942300000881,-158.17713262723308,96.76735317317714
100,CH4891,0.0,100,-48.687431906467836,-38.574547182281975,-14.413729580760243,-0.17626192082682407,-182.44652563611848,-45.33378782911264
101,CH4914,0.0,101,-189.45762019466378,-24.91612870193062,-34.38875157058914,-9.172128510638956,-228.4564271801358,97.0660192724711
102,CH4916,0.0,102,25.98739936008565,-65.77896702376476,109.27845168243711,4.079947355335524,357.89568698901536,-61.24646370124432
103,CH4990,0.0,103,-114.49757022435087,90.00169107834164,-61.41882480104076,61.377953592608,-173.86930198329304,-129.03545045750846
104,CH4992,0.0,104,-105.08452980218074,71.66450710295689,-14.418702497419721,-2.9638670441047394,127.93291815150788,129.7780943008963
105,CH5022,1.0,105,-28.51513050697416,-24.53546001156268,105.56345509067977,17.763153593701468,324.1293166844536,35.97839003887788
106,CH5052,1.0,106,4.223448519607322,67.21915273111016,94.51515015666695,-10.90662210295042,310.3128957606844,-73.99290957270826
107,CH5066,0.0,107,-29.454286470903146,34.24168074238418,-9.840577277113283,-6.0865441343444,-128.237709138843,-15.619864771850365
108,CH5159,1.0,108,-54.94306302767253,102.14188166200647,101.87991741724173,17.262702226523672,341.91390409296093,-23.262060297339502
