,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
52,CH3177,1.0,52,-8.041788202381353,4.23456990360569,-15.454999184823222,-7.857229869459904,-196.9701945157444,-52.97281927816557
53,CH3290,1.0,53,-53.37789337234953,-8.836466145214532,67.74404528042854,15.124546143727798,273.63256837844705,-46.90030569404987
54,CH3325,1.0,54,15.321135361852464,-31.414211397298327,-22.647384947948982,2.8881463402941763,-128.69836005043967,47.16583252996529
55,CH3462,1.0,55,-57.74761237376387,8.757486545782994,5.744345225309237,-27.131712701295246,180.19318206932132,18.316652491782126
56,CH3466,1.0,56,44.4806965060681,-88.54081469221396,-19.038010248038045,-17.062617805857357,-151.57403436946845,-88.4703612387481
57,CH3484,1.0,57,-77.42424594610765,-1.9742495650900844,-21.370977699937814,-14.472546349054042,-163.6494336612587,-25.260263831359563
59,CH3570,0.0,59,-89.50059712605317,-58.253084913930685,-24.143452638724494,-20.401858342921383,-178.96551503137746,-41.22380367159375
60,CH3613,1.0,60,3.968435852226149,-50.36627315918559,-19.837088035859214,-12.608017103489187,-165.72528200237326,-79.95001787123046
61,CH3648,0.0,61,-2.9674700117314208,6.526056570452948,95.93427612114951,7.696298316056788,329.3903848596606,-44.955003511395326
62,CH3797,1.0,62,-181.3315694685414,55.53723679885519,5.469737023131174,-11.1329185424316,277.61431718612135,22.08959979422456
64,CH3906,0.0,64,-147.0632964984601,-28.859585318996242,-20.527461944760542,-5.082761529648143,-160.76955117576895,-22.660484417455116
66,CH4083,1.0,66,-100.79609683467429,-19.918084171726964,-15.224706592445129,-9.832354609881392,-138.8717651210992,-8.311036095528703
67,CH4411,0.0,67,-109.85211613162879,70.14835116203425,-21.279515653989645,-7.630917008081807,-129.294444866282,59.9720167022701
68,CH4418,0.0,68,-66.03078355896974,45.27991816908268,66.7741140131606,16.362350131482987,284.9876506117571,-26.049011592422637
69,CH4433,0.0,69,-87.09804260422673,19.80551334065546,-22.53474421520756,-19.374256032545283,88.92556891542003,-58.70062813836109
71,CH4443,0.0,71,-157.0935600983595,68.21178391533383,-48.186385207149115,-15.722976115470765,-201.03879725299768,115.02822822784867
73,CH4489,1.0,73,-58.27321876514798,-63.230940624017435,3.1648752666491493,-13.160690302065671,219.4451552805524,118.09422851582485
74,CH4509,0.0,74,-156.95235039513346,-22.605588061557725,-20.418686202794422,-1.4361148648817286,-135.74680823930026,-10.676584775649385
75,CH4520,0.0,75,-140.86961697590968,-34.069373723412575,-31.31863330469522,29.383947080222413,-201.84981273293008,22.849258883800434
77,CH4548,0.0,77,-73.18091203744017,24.951443767213686,104.41414032742473,5.202868680197545,320.26417911536464,-53.00725708308818
79,CH4560,1.0,79,-3.1957577403909734,11.624952908454521,91.23168380942349,3.744764502190126,274.14530286948883,-38.031347861622464
80,CH4584,1.0,80,58.511006630254734,-52.100470683413604,-15.385802426627118,-9.23603631899318,-138.6341178037869,-7.523009529776725
82,CH4602,0.0,82,-112.54440136138099,-51.576897140341465,90.50464987498894,3.827030284347051,326.31513940295764,-55.83708394168867
83,CH4634,1.0,83,-155.0097159004439,55.500361212796896,27.423934711052958,8.66612675814961,239.2999126225682,125.05089105106228
84,CH4681,0.0,84,-171.9829001565978,-18.474737735983574,-17.430124971110743,-16.322934988138933,-117.11761132767423,-60.86967947409507
85,CH4684,0.0,85,-101.74556718609182,-4.493015439253633,-16.762657818089135,-9.91249719512463,-0.06933576732278737,-58.716066360256534
86,CH4703,1.0,86,57.861566115631426,-50.0229825553985,-21.400758943626588,-0.12433265159316022,-97.2058107048658,19.587605128550152
87,CH4704,1.0,87,-57.81064596818384,-76.80674380207687,-17.861474498174918,-13.923639577555194,-113.00616701272699,-19.647292193158243
88,CH4733,0.0,88,-86.42272759539922,11.058495495356643,-18.28782602481141,-9.958619066503813,-129.29831795190674,58.50149031987795
89,CH4745,1.0,89,11.05055393269431,-41.268720670341075,90.09661082213083,2.099817960566798,320.41464989036723,-53.05362540382138
90,CH4755,1.0,90,74.98717860138333,-63.00691784859226,-23.19672412604273,-3.4395841796199655,-146.87472972073832,57.66232083165287
91,CH4757,1.0,91,-21.547639177513524,-73.77311488945065,-2.5798084993339336,-32.2513886090749,177.64839820443802,18.613053214981427
92,CH4766,1.0,92,58.474100416728774,-13.812219506735671,-16.354491203276,4.210297235370831,-67.84685657535923,-81.37259955904955
93,CH4780,1.0,93,29.293797766364833,-29.31848038540199,-14.733215833073707,-6.879107600289912,-162.27189891398677,-80.19462376313663
94,CH4785,1.0,94,26.803387965419848,-67.21870986759806,-31.059227655506977,28.747817303866004,-199.96020378472386,18.293118591248483
95,CH4840,1.0,95,-10.30085287811566,-100.40375624320333,-14.59854380600101,-6.464602306457125,-103.43843890285054,6.835526734808432
96,CH4860,1.0,96,12.574544235056292,-66.21376101188191,-21.056322959219504,-3.088745466667296,-147.8924197356751,56.447716369630655
